aX,aY,aZ,gX,gY,gZ
0.565,-0.005,1.368,294.312,63.477,-77.881
0.590,-0.064,1.279,296.326,74.036,-69.031
0.610,-0.059,1.151,293.030,78.918,-62.378
0.668,-0.071,1.022,289.856,82.153,-57.373
0.654,-0.201,0.951,289.246,84.656,-51.453
0.611,-0.236,0.881,282.288,85.144,-49.622
0.577,-0.238,0.801,275.146,84.534,-44.861
0.567,-0.295,0.786,269.409,89.111,-39.185
0.532,-0.339,0.803,264.160,96.680,-36.377
0.536,-0.354,0.811,259.155,97.168,-33.569
0.513,-0.397,0.865,257.507,94.421,-32.471
0.421,-0.418,0.935,258.179,94.238,-34.363
0.379,-0.425,0.901,262.756,94.177,-34.729
0.376,-0.487,0.829,268.799,93.750,-29.541
0.286,-0.519,0.793,267.883,96.069,-20.569
0.228,-0.479,0.770,261.047,99.548,-15.503
0.287,-0.458,0.813,255.798,106.506,-8.423
0.247,-0.440,0.926,254.517,113.037,-4.089
0.158,-0.328,0.924,257.019,110.779,-2.747
0.173,-0.291,0.835,270.508,104.858,0.854
0.170,-0.298,0.755,288.208,98.816,3.723
0.081,-0.259,0.593,299.988,90.210,3.601
0.059,-0.181,0.373,302.979,88.867,6.897
0.138,-0.201,0.315,300.903,97.717,11.169
0.099,-0.138,0.360,294.373,106.567,8.301
0.094,-0.012,0.365,287.903,107.300,5.859
0.152,0.017,0.381,290.894,106.323,7.141
0.091,0.086,0.368,296.204,101.746,3.845
0.078,0.182,0.254,302.246,91.980,1.160
0.126,0.103,0.229,311.218,88.989,4.089
0.051,0.119,0.220,313.538,89.050,6.409
-0.000,0.191,0.103,309.448,84.900,11.536
-0.040,0.239,0.013,304.810,88.135,25.208
-0.084,0.380,-0.153,295.105,98.694,41.443
-0.058,0.542,-0.419,278.748,112.061,59.753
-0.011,0.733,-0.706,258.301,129.700,74.707
-0.005,1.035,-0.943,233.826,142.090,80.811
-0.028,1.417,-1.293,213.562,142.334,76.111
-0.099,1.777,-1.742,198.792,127.991,60.852
-0.230,2.114,-2.271,185.120,98.083,38.696
-0.266,2.177,-2.896,174.805,58.105,16.724
-0.280,2.182,-3.312,151.184,14.526,2.197
-0.184,1.773,-3.481,116.943,-13.000,-6.531
-0.048,1.117,-3.134,58.472,-16.418,-13.367
0.036,0.569,-2.317,-12.085,-3.906,-21.362
0.152,0.026,-1.220,-66.162,10.559,-25.940
0.287,-0.473,-0.224,-87.769,15.625,-23.987
0.388,-0.911,0.452,-76.477,5.737,-18.311
0.503,-1.191,0.644,-42.908,-3.296,-12.756
0.590,-1.265,0.464,-3.113,-8.545,-8.118
0.589,-1.125,0.078,27.405,-10.193,-2.869
0.536,-0.755,-0.459,42.725,-6.897,2.991
0.456,-0.296,-1.055,41.626,0.061,8.789
0.361,0.215,-1.540,28.870,9.155,13.794
0.298,0.559,-1.909,15.991,12.756,17.883
0.266,0.748,-2.122,-0.977,8.301,18.127
0.300,0.754,-2.110,-22.034,2.930,13.733
