aX,aY,aZ,gX,gY,gZ
0.804,0.380,0.264,-5.859,4.272,-19.897
0.767,0.373,0.225,-9.338,6.470,-15.930
0.714,0.374,0.212,-10.132,7.324,-13.550
0.665,0.399,0.195,-10.559,9.216,-12.756
0.613,0.417,0.194,-10.437,11.230,-11.658
0.565,0.420,0.200,-11.047,9.583,-10.254
0.528,0.419,0.205,-13.123,5.127,-8.606
0.505,0.419,0.200,-16.418,-0.549,-7.568
0.494,0.406,0.194,-20.630,-6.348,-6.897
0.499,0.381,0.200,-23.987,-12.207,-6.531
0.528,0.351,0.217,-25.879,-15.320,-6.104
0.569,0.330,0.230,-25.818,-14.221,-4.272
0.595,0.321,0.246,-24.780,-10.437,-0.854
0.618,0.319,0.256,-24.536,-6.104,2.258
0.644,0.323,0.242,-26.306,-2.625,4.456
0.654,0.342,0.220,-29.846,-1.831,7.324
0.640,0.373,0.200,-33.264,-3.601,10.620
0.616,0.412,0.193,-36.255,-7.202,13.611
0.603,0.460,0.181,-37.354,-9.521,14.587
0.606,0.512,0.178,-37.476,-9.094,13.916
0.616,0.552,0.166,-37.231,-7.324,13.489
0.632,0.595,0.138,-35.583,-5.981,12.817
0.645,0.631,0.121,-32.471,-7.935,11.414
0.696,0.659,0.112,-27.954,-14.893,9.155
0.740,0.703,0.140,-23.071,-26.367,5.920
0.803,0.732,0.200,-16.907,-37.109,2.563
0.906,0.740,0.291,-10.925,-43.274,-1.160
1.026,0.760,0.447,-7.446,-45.898,-4.211
1.120,0.772,0.546,-10.498,-45.654,-5.676
1.159,0.821,0.629,-16.663,-44.495,-7.996
1.186,0.851,0.623,-17.578,-41.992,-15.564
1.172,0.960,0.589,-10.559,-36.438,-30.579
1.171,1.095,0.680,1.160,-29.541,-49.438
1.138,1.174,0.796,9.094,-23.865,-70.862
0.996,1.286,0.907,14.099,-20.325,-97.778
0.852,1.459,0.950,22.156,-14.526,-132.935
0.759,1.625,0.983,34.546,-6.348,-173.157
0.741,1.827,0.997,49.866,-2.502,-213.745
0.790,2.112,0.973,70.618,-9.888,-253.052
0.876,2.539,0.922,95.459,-30.640,-291.016
1.110,3.145,0.865,123.901,-57.922,-325.684
1.440,3.787,0.851,160.645,-96.497,-352.173
1.537,4.000,0.865,199.097,-151.306,-364.197
1.482,4.000,1.126,217.773,-225.647,-367.126
1.306,4.000,1.441,229.858,-304.749,-356.262
1.104,4.000,1.683,227.112,-354.065,-349.487
0.875,4.000,1.797,226.685,-346.313,-358.826
0.664,4.000,1.892,225.891,-311.829,-378.357
0.484,4.000,1.880,195.007,-281.067,-402.222
0.137,4.000,1.894,129.333,-269.836,-426.208
-0.634,3.917,1.735,36.377,-273.804,-437.622
-1.858,2.967,1.162,-58.594,-265.137,-430.054
-3.117,1.570,0.093,-155.029,-252.441,-421.448
-4.000,-0.777,-1.400,-224.487,-262.207,-424.744
-4.000,-3.890,-2.361,-227.112,-304.382,-433.594
-4.000,-4.000,-2.637,-148.560,-351.379,-446.228
-4.000,-4.000,-2.101,-25.330,-316.956,-464.355
-4.000,-4.000,-1.368,91.553,-216.980,-459.106
-1.847,-4.000,-0.878,163.879,-175.537,-438.110
1.597,-4.000,-0.424,217.957,-185.730,-408.875
4.000,-4.000,-0.295,168.152,-190.308,-308.289
4.000,-4.000,-0.379,1.526,-168.762,-88.623
3.046,-4.000,-0.791,-165.039,-23.376,214.111
-0.472,-4.000,-1.427,-260.010,280.334,519.897
-3.981,-4.000,-1.695,-218.567,591.187,751.526
-4.000,-3.260,-1.252,-88.928,725.098,811.707
-4.000,-2.101,-0.526,6.226,574.646,668.213
-3.910,-1.751,0.027,-17.456,241.333,499.939
-2.936,-1.561,0.447,-93.079,-66.589,435.303
-1.942,-1.440,0.620,-165.588,-210.937,426.453
-1.389,-1.292,0.684,-179.932,-142.273,429.077
-0.964,-0.966,0.653,-136.719,70.618,449.097
-0.812,-0.579,0.628,-75.867,271.973,480.957
-0.887,-0.181,0.554,-36.255,389.771,519.104
-1.077,0.145,0.484,-13.184,430.237,541.565
-1.283,0.457,0.521,-2.197,411.926,539.062
-1.237,0.838,0.579,7.019,366.455,520.996
-1.151,1.301,0.711,5.249,320.923,486.816
-1.195,1.662,0.744,-8.606,276.306,436.829
-1.039,2.155,0.909,-38.208,233.643,375.549
-0.897,2.631,0.821,-77.393,192.200,293.945
-0.708,2.807,0.672,-97.046,170.715,200.317
-0.312,2.638,0.609,-92.896,161.377,129.272
-0.004,2.522,0.574,-70.679,152.039,87.830
0.206,2.470,0.687,-36.865,145.081,62.439
0.341,2.376,0.941,-6.897,135.864,45.349
0.512,2.230,1.200,1.099,120.422,28.687
0.625,2.099,1.329,-16.663,103.455,15.930
0.768,1.941,1.302,-42.175,88.135,7.568
0.936,1.776,1.138,-63.416,71.472,0.610
1.068,1.565,0.890,-72.571,66.528,-8.240
1.206,1.412,0.660,-64.697,78.613,-13.977
1.278,1.331,0.528,-44.739,101.685,-14.954
1.271,1.259,0.462,-28.198,123.596,-13.733
1.202,1.202,0.449,-22.705,133.118,-10.437
1.090,1.122,0.483,-21.301,126.221,-6.592
0.992,1.066,0.519,-19.653,108.765,-4.517
0.896,1.007,0.589,-20.691,93.567,-3.967
0.771,0.931,0.642,-27.161,84.656,-1.404
0.644,0.856,0.622,-38.696,79.590,2.686
0.563,0.730,0.503,-46.509,77.148,4.028
0.506,0.622,0.362,-46.387,75.317,1.648
0.531,0.527,0.265,-38.757,76.965,-2.991
0.672,0.346,0.447,-28.259,69.702,-9.338
0.507,0.500,0.386,-37.537,42.603,-10.925
0.456,0.443,0.366,-40.100,36.072,-0.305
0.484,0.474,0.374,-36.133,40.100,2.869
0.468,0.485,0.355,-34.790,44.312,2.930
0.410,0.513,0.350,-38.513,47.119,1.038
0.350,0.545,0.364,-45.227,46.204,-0.793
0.295,0.566,0.341,-53.833,41.870,-2.441
0.276,0.585,0.276,-60.791,37.048,-2.747
0.305,0.544,0.150,-60.730,30.090,-2.258
0.362,0.562,0.046,-52.063,20.691,-7.324
0.397,0.576,-0.020,-36.377,8.972,-15.381
0.457,0.553,-0.004,-20.203,-4.333,-21.301
0.600,0.490,0.047,-9.583,-16.724,-20.874
0.733,0.488,0.080,-8.789,-26.367,-16.846
0.826,0.510,0.081,-13.672,-28.625,-13.306

0.578,0.680,0.499,-17.822,-11.597,-22.888
0.700,0.724,0.549,-26.306,-2.991,-23.804
0.757,0.738,0.487,-33.142,14.771,-21.851
0.840,0.720,0.348,-33.447,34.485,-21.606
0.925,0.685,0.220,-27.039,45.349,-20.813
0.964,0.606,0.142,-18.433,43.091,-16.602
0.966,0.507,0.094,-11.047,30.396,-10.010
0.951,0.437,0.083,-7.385,10.498,-2.319
0.883,0.355,0.086,-5.920,-10.010,5.981
0.814,0.282,0.119,-7.385,-25.391,15.625
0.728,0.234,0.141,-9.644,-31.982,24.414
0.618,0.223,0.156,-11.902,-30.823,30.396
0.489,0.212,0.161,-13.855,-24.170,33.020
0.381,0.195,0.161,-16.785,-14.038,32.776
0.308,0.182,0.139,-20.752,-4.333,29.053
0.253,0.185,0.103,-25.940,2.441,23.132
0.233,0.174,0.074,-28.320,7.202,16.907
0.243,0.187,0.052,-28.137,9.949,10.803
0.292,0.193,0.048,-26.672,10.437,4.700
0.376,0.231,0.057,-26.733,5.493,-0.122
0.473,0.283,0.080,-27.771,-3.540,-2.869
0.588,0.350,0.101,-28.687,-12.268,-4.333
0.704,0.452,0.118,-29.602,-19.104,-5.981
0.834,0.539,0.141,-28.259,-23.071,-8.667
0.970,0.605,0.174,-25.818,-24.780,-12.268
1.085,0.672,0.211,-21.851,-25.635,-15.625
1.170,0.767,0.256,-15.808,-25.146,-17.517
1.226,0.872,0.311,-9.644,-21.790,-18.066
1.254,0.988,0.365,-6.104,-17.151,-18.127
1.262,1.087,0.414,-4.456,-12.939,-19.104
1.251,1.198,0.457,-4.883,-11.841,-23.560
1.229,1.280,0.504,-6.470,-14.160,-30.396
1.218,1.348,0.570,-8.972,-19.897,-38.452
1.158,1.448,0.587,-11.597,-30.518,-50.232
1.094,1.578,0.618,-9.338,-42.542,-65.308
1.041,1.706,0.653,-3.723,-53.223,-84.229
1.023,1.787,0.681,5.066,-61.279,-107.239
1.021,1.910,0.647,15.808,-67.444,-132.324
1.081,2.088,0.581,28.259,-73.914,-158.813
1.222,2.278,0.538,40.405,-84.534,-183.594
1.387,2.560,0.427,52.551,-103.455,-204.407
1.559,3.023,0.261,63.416,-130.188,-225.952
1.667,3.570,0.108,72.021,-163.147,-243.164
1.672,4.000,0.127,86.304,-210.266,-238.586
1.431,4.000,0.212,102.112,-275.208,-209.656
1.103,4.000,0.216,105.408,-340.454,-178.894
0.757,4.000,0.100,98.083,-383.423,-160.034
0.435,4.000,-0.154,85.571,-394.592,-161.865
0.467,4.000,-0.716,65.369,-389.160,-191.040
0.274,4.000,-1.550,41.687,-407.593,-252.625
-0.124,4.000,-2.191,25.146,-469.055,-313.049
-0.778,3.807,-2.686,22.766,-546.082,-346.191
-1.857,2.960,-3.044,43.396,-600.769,-347.473
-3.333,1.459,-3.280,102.295,-592.102,-331.604
-4.000,-0.789,-3.333,194.885,-528.748,-329.712
-4.000,-3.901,-2.734,288.940,-440.857,-345.398
-4.000,-4.000,-1.354,343.384,-362.000,-335.632
-4.000,-4.000,-0.036,311.523,-370.361,-328.735
-3.885,-4.000,1.519,251.343,-465.210,-396.484
0.326,-4.000,2.768,251.282,-515.930,-445.618
3.652,-4.000,2.706,181.274,-422.974,-325.867
4.000,-4.000,1.129,-38.879,-123.169,-40.283
1.754,-4.000,-0.608,-299.133,294.678,287.842
-3.302,-4.000,-2.246,-413.635,685.669,561.707
-4.000,-3.521,-2.545,-238.770,930.420,706.421
-4.000,-1.689,-2.117,-25.757,815.674,625.610
-3.986,-1.503,-0.745,48.157,436.279,480.103
-2.787,-1.373,0.418,17.761,101.624,419.617
-2.079,-1.100,0.852,-55.237,-56.946,398.315
-1.676,-0.900,0.979,-87.402,-8.118,398.437
-1.173,-0.584,0.927,-62.317,172.241,392.212
-0.851,-0.181,0.880,-18.127,354.797,395.935
-0.826,0.258,0.850,8.484,469.116,415.222
-0.818,0.646,0.775,12.390,502.075,426.453
-0.714,1.045,0.610,-5.005,474.976,413.818
-0.641,1.380,0.390,-49.316,424.927,372.131
-0.530,1.622,0.163,-98.694,362.671,325.806
-0.486,1.759,-0.048,-135.193,300.354,283.142
-0.318,1.954,-0.089,-140.320,259.705,238.708
-0.086,2.374,0.001,-105.835,238.037,188.843
0.028,2.808,0.205,-44.250,219.849,129.883
0.312,3.010,0.527,9.766,200.989,67.261
0.743,2.953,0.832,20.569,173.462,15.442
1.250,2.699,0.919,-6.104,136.719,-7.202
1.680,2.327,0.814,-43.823,108.337,0.427
1.990,1.990,0.615,-74.829,97.290,18.860
2.165,1.762,0.402,-86.304,106.689,38.086
2.210,1.575,0.267,-71.228,122.803,59.265
2.075,1.504,0.257,-43.579,136.230,75.867
1.794,1.481,0.294,-20.020,144.653,76.599
1.511,1.483,0.342,-4.028,142.273,69.336
1.248,1.487,0.397,2.991,128.052,63.904
1.054,1.448,0.478,8.606,104.736,58.289
1.040,1.299,0.578,12.085,79.163,49.744
1.012,1.202,0.619,5.554,58.838,45.959
0.963,1.123,0.617,-3.601,47.668,49.255
0.874,0.990,0.562,-8.057,48.096,50.049
0.833,0.849,0.451,-8.728,58.411,44.617
1.108,0.510,0.950,-9.033,64.087,40.039
0.625,0.569,0.913,-49.744,22.156,31.067
0.743,0.617,0.443,-71.716,2.502,28.625
0.689,0.525,0.320,-48.950,30.029,32.227
0.674,0.481,0.311,-15.564,46.692,22.522
0.689,0.482,0.295,1.648,44.250,6.714
0.671,0.431,0.258,2.625,32.166,-0.244
